id,name,type,cost,bp,sp,ability,description,faction,illustrator,imageUrl,color,rarity,cardNumber,colorBalance,colorCost,colorlessCost,effectType,pack,traits,effect,flavorText
BT1-19,ルナ,ユニット,7,7000,-,【登場時】ターン終了まで、青の自分のユニット全てをBP+3000。,ウサギのルナは、夜空を眺めて静かに過ごすのが好き。,ルナ/CNP,コメスケ,/card-images/19.png,blue,RRR,BT1-19,青5,5,2,BP＋,次元の訪問者,,,
BT1-20,シロクマ,ユニット,8,8000,-,【登場時】コスト5以下の相手のユニット1体を退場させる。,パンダのリーリーが変化。シロクマのような力強さと優雅さを併せ持つ姿に。,リーリー/CNP,コメスケ,/card-images/20.png,blue,RR,BT1-20,青4,4,4,ユニット退場,次元の訪問者,,,
BT1-21,不穏な影,イベント,1,,,【メイン】自分のレイキの枚数が相手のレイキの枚数以下なら、ターン終了まで、自分のユニット1体をBP+4000。,………。,,だがあ,/card-images/21.png,blue,C,BT1-21,青1,1,0,BP＋,次元の訪問者,,,
BT1-22,圧政,イベント,2,,,【メイン】コスト3以下の相手のユニット1体を退場させる。,今のアクアノーヴァでは、セイドウの発言が絶対であり、抵抗する者は決して許されない。,,モト,/card-images/22.png,blue,R,BT1-22,青2,2,0,ユニット退場,次元の訪問者,,,
BT1-23,奥義:リーリーの巨大化！,イベント,2,,,特徴に「リーリー」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-1。 【メイン】ターン終了まで、自分のユニット1体をBP+5000。,見る見るうちに、見上げるほどに巨大化したリーリー。,,だがあ,/card-images/23.png,blue,RR,BT1-23,青2,2,0,BP＋,次元の訪問者,,,
BT1-24,不屈,イベント,2,,,【コンバット】バトル終了まで、自分のユニット1体をBP+3000。,「俺たちはアクアノーヴァを取り戻す！！」,,だがあ,/card-images/24.png,blue,C,BT1-24,青1,1,1,BP＋,次元の訪問者,,,
BT1-25,奪還同盟結成！,イベント,3,,,【メイン】ターン終了まで、自分のユニット全てをBP+3000。,重ねた手は結束と覚悟の表明。,,だがあ,/card-images/25.png,blue,C,BT1-25,青1,1,2,BP＋,次元の訪問者,,,
BT1-26,天体観測,イベント,4,,,【メイン】≪2ドロー≫（デッキからカードを2枚引く）,この世界でも星は綺麗だ。 変な機械が混じっているけれど。,,モト,/card-images/26.png,blue,R,BT1-26,青1,1,3,デッキドロー,次元の訪問者,,,
BT1-27,奥義:ルナの跳躍！,イベント,5,,,特徴に「ルナ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】コスト5以下の相手のユニット1体を退場させる。,高く飛び上がり、急降下して繰り出すキック技。,,だがあ,/card-images/27.png,blue,SR,BT1-27,青2,2,3,ユニット退場,次元の訪問者,,,
BT1-28,戦火のアクアノーヴァ,イベント,6,,,【メイン】コスト7以下の相手のユニット1体を退場させる。,アクアノーヴァはかつて水と平和の都市だった。現在はセイドウに支配され、民は圧政に苦しんでいる。,,だがあ,/card-images/28.png,blue,C,BT1-28,青2,2,4,ユニット退場,次元の訪問者,,,
BT1-29,ハイメタモルの協力者 ミナモ,サポーター,2,,,【メイン】このサポーターをレストすることで、ターン終了まで、自分のユニット1体をBP+2000。,あらゆる生物と意思疎通ができるテレパシー能力を持ち、それによってリーリーやルナと意思疎通し、彼らを導く。,アクアノーヴァ/メタモル,コメスケ,/card-images/29.png,blue,RR,BT1-29,青2,2,0,BP＋,次元の訪問者,,,
BT1-30,海賊の頭領 スイゲツ,サポーター,5,,,【登場時】コスト4以下の相手のユニット1体を退場させる。 【メイン】このサポーターをレストすることで、ターン終了まで、自分のユニット全てをBP+1000。,海賊と出会ったリーリーたちは、彼らの目標である「セイドウからの解放」に共感し協力する事を決めた。,アクアノーヴァ/海賊,株式会社アイラボ,/card-images/30.png,blue,R,BT1-30,青3,3,2,ユニット退場;BP＋,次元の訪問者,,,
BT1-31,サンドワーム,ユニット,1,2000,1000,,サンドワームが地上に這い出るのは、都市が溶岩に吞み込まれる程の大噴火の予兆とされており、残された時間が少ないことを示す。,カグツチ/サンドワーム,株式会社アイラボ,/card-images/31.png,red,C,BT1-31,赤1,1,0,,次元の訪問者,,,
BT1-32,鍛冶場のドワーフ,ユニット,1,2000,1000,,カグツチの文明を支えている職人たち。オーガたちと協力しセイドウと守り神を討伐するために行動している。,カグツチ/ドワーフ,だがあ,/card-images/32.png,red,C,BT1-32,赤1,1,0,,次元の訪問者,,,
BT1-33,ナルカミ,ユニット,2,2000,2000,,プロローグ➂:CNPたちが三種の神器を取りに祭壇に向かうと、そこに既に神器は無く…。,ナルカミ/CNP,小山内えのん,/card-images/33.png,red,C,BT1-33,赤1,1,1,,次元の訪問者,,,
BT1-34,マカミ,ユニット,2,3000,1000,,プロローグ④:三種の神器の代わりにあったのは禍々しく輝く「ホール」であった。,マカミ/CNP,竜弥,/card-images/34.png,red,C,BT1-34,赤1,1,1,,次元の訪問者,,,
BT1-35,マグマメタモル,ユニット,2,5000,-,【自分のターン】このユニットがアタックしている間、自分は助太刀できない。,マグマを取り込んだメタモルは、他のメタモルに比べて凶暴で好戦的だが、体が重いため、獲物に逃げられることが多い。,カグツチ/メタモル,だがあ,/card-images/35.png,red,R,BT1-35,赤1,1,1,デメリット,次元の訪問者,,,
BT1-36,抵抗するオーガ,ユニット,3,4000,1000,,オーガたちはカグツチを守るためにセイドウと戦い、守り神を討とうとするも、守り神を信仰する竜人の妨害に遭っている。,カグツチ/オーガ,だがあ,/card-images/36.png,red,C,BT1-36,赤1,1,2,,次元の訪問者,,,
BT1-37,オイシノサラマンダー,ユニット,3,4000,1000,,カグツチの人気食材:クロヤキが美味,カグツチ/サラマンダー,株式会社アイラボ,/card-images/37.png,red,C,BT1-37,赤1,1,2,,次元の訪問者,,,
BT1-38,式神・炎百足,ユニット,3,3000,1000,,百足を模した形代で召喚した式神。元々はただの百足の式神であったが、カグツチの環境に影響され炎を纏うようになった。,セイドウ/式神,翠月,/card-images/38.png,red,C,BT1-38,-,0,3,,次元の訪問者,,,
BT1-39,フェニックス,ユニット,3,2000,1000,【相手のターン】このユニットをBP+4000。,鷹のナルカミがフェニックスに変化した姿。激しい攻撃を受けても不死鳥のようによみがえる。,ナルカミ/CNP,コメスケ,/card-images/39.png,red,RR,BT1-39,赤2,2,1,BP＋,次元の訪問者,,,
BT1-40,呑気な竜人,ユニット,3,5000,-,,竜人たちは信心深く、守り神がセイドウの手に堕ちた後も信仰を捨てず、守り神を攻撃しようとするオーガたちと対立している。,カグツチ/竜人,だがあ,/card-images/40.png,red,C,BT1-40,赤1,1,2,,次元の訪問者,,,
BT1-41,ナルカミ,ユニット,4,4000,2000,【登場時】≪2ドロー≫（デッキからカードを2枚引く）。その後、自分の手札2枚を破棄する。,真面目で責任感が強い、しっかり者。空から周囲に目を配り、危険をいち早く察知する。,ナルカミ/CNP,株式会社アイラボ,/card-images/41.png,red,RRR,BT1-41,赤2,2,2,デッキドロー,次元の訪問者,,,
BT1-42,竜人のリーダー ミバツ,ユニット,4,4000,1000,【アタック終了時】≪助太刀回収1≫（自分のトラッシュから、このバトルで助太刀に使用したユニットカード1枚を手札に戻せる）,竜人族のリーダー。娘のツミカと共にナルカミたちに接触し、守り神を討とうとするオーガたちを止めようと協力を依頼する。,カグツチ/竜人,コメスケ,/card-images/42.png,red,C,BT1-42,赤1,1,3,助太刀回収,次元の訪問者,,,
BT1-43,量産型ゴーレム,ユニット,4,5000,1000,,ドワーフが鍛造した兵器。 セイドウの式神に対抗し侵略を防いでいる。,カグツチ/ゴーレム,翠月,/card-images/43.png,red,C,BT1-43,赤1,1,3,,次元の訪問者,,,
BT1-44,ホムラノワイバーン,ユニット,4,5000,1000,,守り神の暴走によって火山活動が活性化し、中規模の噴火が続発。その火山灰が生態系に著しい被害を与えている。,カグツチ/ドラゴン,株式会社アイラボ,/card-images/44.png,red,C,BT1-44,赤1,1,3,,次元の訪問者,,,
BT1-45,マカミ,ユニット,5,5000,-,≪奪取≫（このユニットのアタックで、制圧中の相手のユニットを退場させたとき、その拠点の相手のゲージ1枚を減らす） 【登場時】他の自分のユニット1体を手札に戻すことで、ターン終了まで、このユニットをBP+2000。,穏やかで包容力があり、周囲から一目置かれるオオカミのマカミ。慈悲深く、仲間を傷つけるものとは容赦なく戦う。,マカミ/CNP,モト,/card-images/45.png,red,RRR,BT1-45,赤3,3,2,ゲージ破壊;BP＋,次元の訪問者,,,
BT1-46,式神・炎竜,ユニット,6,5000,1000,【登場時】BP4000以下の相手のユニット1体を退場させる。,幼竜を模した形代で召喚した式神。決して戦闘力が高い式神ではないが、戦闘を行う度に成長しやがて進化する能力を持つ。,セイドウ/式神,小山内えのん,/card-images/46.png,red,R,BT1-46,赤2,0,6,ユニット退場,次元の訪問者,,,
BT1-47,カゲロウ,ユニット,7,6000,1000,【登場時】自分の手札から、特徴に「式神」を持つコスト6以下のユニットカード1枚をコストを支払わずに登場できる。,テンシュの部下。元破戒僧であり気性が荒い。カグツチの守り神を神器の力により暴走させ、侵略を進めている。,セイドウ/カゲロウ,翠月,/card-images/47.png,red,R,BT1-47,赤1,1,6,特殊召喚,次元の訪問者,,,
BT1-48,パワードゴーレム:V,ユニット,7,7000,1000,【アタック時】BP合計3000以下になるように相手のユニットを選び、選んだユニットを退場させる。,守り神を討つことを想定し、ドワーフたちが鍛造した試作兵器。その実力を測るために対式神戦に導入された。,カグツチ/ゴーレム,株式会社アイラボ,/card-images/48.png,red,C,BT1-48,赤2,2,5,ユニット退場,次元の訪問者,,,
BT1-49,ブレイズ,ユニット,7,7000,-,≪奪取≫（このユニットのアタックで、制圧中の相手のユニットを退場させたとき、その拠点の相手のゲージ1枚を減らす）,オオカミのマカミが焔の力を身に纏った姿。燃える闘志で、あらゆる困難に立ち向かう。,マカミ/CNP,コメスケ,/card-images/49.png,red,RR,BT1-49,赤2,2,5,ゲージ破壊,次元の訪問者,,,
BT1-50,到着！カグツチ！,イベント,2,,,【メイン】≪2ドロー≫（デッキからカードを2枚引く）。その後、自分の手札1枚を破棄する。,力と信仰の都市カグツチ。セイドウの暗躍により守り神が暴走し、その影響で火山が活性化。このままでは滅亡は避けられない。,,翠月,/card-images/50.png,red,C,BT1-50,赤1,1,1,デッキドロー,次元の訪問者,,,
BT1-51,竜人の怒り,イベント,2,,,【コンバット】BP4000以下の相手のユニット1体を退場させる。,竜人たちの怒りもオーガたちの必死さも両方を理解したマカミとナルカミはどちらに協力するか割り切れないでいた。,,小山内えのん,/card-images/51.png,red,R,BT1-51,赤1,1,1,ユニット退場,次元の訪問者,,,
BT1-52,奥義:ナルカミの警戒,イベント,3,,,特徴に「ナルカミ」を持つ自分のユニットがアタックしている間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】【コンバット】≪2ドロー≫（デッキからカードを2枚引く）。その後、自分の手札1枚を破棄する。,ナルカミの察知能力はあらゆる危険を遠ざける。,,だがあ,/card-images/52.png,red,RR,BT1-52,赤1,1,2,デッキドロー,次元の訪問者,,,
BT1-53,サラマンダーのクロヤキ,イベント,3,,,【メイン】ターン終了まで、自分のユニット1体は「【アタック終了時】≪助太刀回収5≫（自分のトラッシュから、このバトルで助太刀に使用したユニットカード5枚までを手札に戻せる）」の効果を得る。,「食べないんですか～？」,,オノダイサム,/card-images/53.png,red,C,BT1-53,赤2,2,1,助太刀回収,次元の訪問者,,,
BT1-54,錬成,イベント,3,,,【メイン】【コンバット】自分の手札から、赤のコスト4以下のユニットカード1枚をコストを支払わずに登場できる。,ドワーフはひたすらに彫る。 勝利のために。,,株式会社アイラボ,/card-images/54.png,red,C,BT1-54,赤2,2,1,特殊召喚,次元の訪問者,,,
BT1-55,キングオーガの号令,イベント,5,,,【メイン】BP合計5000以下になるように相手のユニットを選び、選んだユニットを退場させる。,「神が堕ちようとも、我々の魂は堕ちず！！」 「たとえ神を討つことになっても、セイドウとの闘いに勝利する！！」,,モト,/card-images/55.png,red,C,BT1-55,赤2,2,3,ユニット退場,次元の訪問者,,,
BT1-56,圧倒的な戦力,イベント,6,,,【コンバット】BP6000以下の相手のユニット1体を退場させる。,「セイドウがっ！！！なんぼのもんじゃ～～～っ！！！」,,株式会社アイラボ,/card-images/56.png,red,R,BT1-56,赤2,2,4,ユニット退場,次元の訪問者,,,
BT1-57,奥義:マカミの爪撃,イベント,6,,,特徴に「マカミ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】BP7000以下の相手のユニット1体を退場させる。,オオカミのマカミは、鉤爪を活かした連続攻撃が得意。,,小山内えのん,/card-images/57.png,red,R,BT1-57,赤2,2,4,ユニット退場,次元の訪問者,,,
BT1-58,竜人の協力者 ツミカ,サポーター,1,,,【メイン】このサポーターをレストすることで、ターン終了まで、自分のユニット1体は「【アタック終了時】≪助太刀回収1≫（自分のトラッシュから、このバトルで助太刀に使用したユニットカード1枚を手札に戻せる）」の効果を得る。,内気な竜人。頭の回転の早さと他者の思惑を察する感度の高さから、マカミやナルカミの意図を汲んで、さりげなく導いていく。,カグツチ/竜人,コメスケ,/card-images/58.png,red,RR,BT1-58,赤1,1,0,助太刀回収,次元の訪問者,,,
BT1-59,キングオーガ オウドン,サポーター,6,,,【登場時】自分の手札から、赤のコスト5以下のユニットカード1枚をコストを支払わずに登場できる。 【メイン】このサポーターをレストすることで、≪1ドロー≫（デッキからカードを1枚引く）。その後、自分の手札1枚を破棄する。,オーガ族の王。あまり賢くないがオーガやドワーフたちのことを第一に考えており、守り神を討ってでも止めるために尽力している。,カグツチ/オーガ,オノダイサム,/card-images/59.png,red,R,BT1-59,赤2,2,4,特殊召喚;デッキドロー,次元の訪問者,,,
BT1-60,式神・兵隊,ユニット,2,2000,1000,,最も効率よく召喚・動作するように調整された式神。,セイドウ/式神,流セイヤ,/card-images/60.png,yellow,C,BT1-60,-,0,2,,次元の訪問者,,,
BT1-61,セツナ,ユニット,2,3000,1000,,プロローグ⑤:CNPたちは慌て混乱した。三種の神器が無くなれば、儀式が成立しないどころか、大問題に発展しかねないからだ。,セツナ/CNP,モト,/card-images/61.png,yellow,C,BT1-61,黄1,1,1,,次元の訪問者,,,
BT1-62,トワ,ユニット,2,2000,2000,,プロローグ⑥:「とにかくやばい」「怒られたくない」——様々な思いが交錯する中、手がかりを前に、できることは一つだった。,トワ/CNP,コメスケ,/card-images/62.png,yellow,C,BT1-62,黄1,1,1,,次元の訪問者,,,
BT1-63,トゥルーリア学派の役員,ユニット,3,4000,1000,,トゥルーリア学派は、最も効率的に科学を発展させるために設立された流派。その精神性が評価され、現在では主流となっている。,ミッドガン/トゥルーリア学派/人間,株式会社アイラボ,/card-images/63.png,yellow,C,BT1-63,黄1,1,2,,次元の訪問者,,,
BT1-64,トゥルーリア学派総合研究長 ネハシーン,ユニット,3,2000,-,【登場時】自分のデッキの上から3枚オープンする。その中の特徴に「トゥルーリア学派」を持つカード1枚を手札に加える。残りはデッキの下に戻す。,発展と研究が何よりも優先されるミッドガンでは、学ぶことが最も尊いとされ、「学派」は膨大な権力を持ち、事実上の政府である。,ミッドガン/トゥルーリア学派/人間,翠月,/card-images/64.png,yellow,R,BT1-64,黄2,2,1,サーチ,次元の訪問者,,,
BT1-65,負傷した反学派構成員,ユニット,3,4000,1000,,技術発展のためならどんな犠牲も厭わない学派の思想を快く思わない者たちは、「反学派」として届かぬ声を挙げた。,ミッドガン/反学派/人間,株式会社アイラボ,/card-images/65.png,yellow,C,BT1-65,黄1,1,2,,次元の訪問者,,,
BT1-66,マネキネコ,ユニット,3,3000,1000,【アタック時】自分のデッキの上から2枚オープンする。その中のイベントカード1枚を手札に加える。残りはデッキの下に戻す。,黒猫のトワが、招き猫に変化した姿。仲間に勝利と幸福を呼び寄せる。,セツナ/CNP,翠月,/card-images/66.png,yellow,RR,BT1-66,黄2,2,1,サーチ,次元の訪問者,,,
BT1-67,ミッドガンの市民,ユニット,3,4000,1000,,ミッドガンの一般市民は、トゥルーリア学派がもたらす科学の恩恵を受け、不自由なく暮らしている。,ミッドガン/人間,株式会社アイラボ,/card-images/67.png,yellow,C,BT1-67,黄1,1,2,,次元の訪問者,,,
BT1-68,機械人,ユニット,4,5000,1000,,ミッドガンの高い技術力は機械すら人たらしめた。,ミッドガン/人間/機械,株式会社アイラボ,/card-images/68.png,yellow,C,BT1-68,黄1,1,3,,次元の訪問者,,,
BT1-69,機械ペット・犬,ユニット,4,5000,1000,,「野良猫！？保安部に通報しなきゃ！！」トワとセツナは駆け出した。どうやらこの都市では野良猫は通報対象らしい。,ミッドガン/機械/アニマル,モト,/card-images/69.png,yellow,C,BT1-69,黄1,1,3,,次元の訪問者,,,
BT1-70,クオンタム,ユニット,4,4000,1000,≪ゲージバーン≫（このユニットが減らしたゲージは破棄される）,黒猫のトワが量子の力を身に纏った姿。全身から発する光で相手を惑わせる。,トワ/CNP,株式会社アイラボ,/card-images/70.png,yellow,RR,BT1-70,黄2,2,2,ゲージ破壊,次元の訪問者,,,
BT1-71,式神・狐,ユニット,4,4000,1000,【自分のターン終了時】このユニットが制圧中なら、≪レイキ回復1≫（自分のレイキ1枚をアクティブにする）。,狐を模した形代で召喚した式神。テンシュのお気に入り。,セイドウ/式神,流セイヤ,/card-images/71.png,yellow,C,BT1-71,黄2,0,4,レイキ回復,次元の訪問者,,,
BT1-72,大型機兵,ユニット,5,6000,1000,,学派が表面上は「防衛用兵器」として制作していた巨大な機兵。,ミッドガン/トゥルーリア学派/機械,小山内えのん,/card-images/72.png,yellow,C,BT1-72,黄1,1,4,,次元の訪問者,,,
BT1-73,機械ペット・熊,ユニット,5,6000,1000,,動物は学派に厳重に管理されており、ミッドガンにはいない為、機械ペットなるものが流行している。,ミッドガン/機械/アニマル,小山内えのん,/card-images/73.png,yellow,C,BT1-73,黄1,1,4,,次元の訪問者,,,
BT1-74,高機動型大型機兵,ユニット,5,5000,1000,【登場時】コスト2以下の相手のユニット1体を手札に戻す。,学派の研究は非常に過激で事故等の犠牲者も後を絶たないが、その名誉の死による恩恵を享受している民たちは学派を批判できない。,ミッドガン/トゥルーリア学派/機械,オノダイサム,/card-images/74.png,yellow,R,BT1-74,黄2,2,3,ユニット手札に戻す,次元の訪問者,,,
BT1-75,テンシュ,ユニット,5,5000,1000,【自分のターン終了時】このユニットが制圧中なら、コスト4以下の相手のユニット1体を手札に戻す。,セイドウの幹部。次元を超越する能力など様々な強力な術を行使できる。目的は不明だが「三種の神器」を強奪しこの世界にきた。,セイドウ/テンシュ,コメスケ,/card-images/75.png,yellow,RR,BT1-75,黄1,1,4,ユニット手札に戻す,次元の訪問者,,,
BT1-76,イザナミ・試験機,ユニット,6,9000,-,【相手のターン開始時】アクティブ状態の自分のレイキがないなら、このユニットを退場させる。,学派が開発したレイキを動力に駆動する対セイドウ用新型機兵試験機。,ミッドガン/トゥルーリア学派/機械,オノダイサム,/card-images/76.png,yellow,R,BT1-76,黄2,2,4,デメリット,次元の訪問者,,,
BT1-77,セツナ,ユニット,6,6000,2000,【登場時】自分のデッキの上から5枚オープンする。その中のイベントカード1枚を手札に加える。残りはデッキの下に戻す。 【自分のターン終了時】≪レイキ回復2≫（自分のレイキ2枚までをアクティブにする）,口数は少ないが思慮深く、本質を見抜く力を持つ白猫のセツナ。双子のトワの良き理解者でもある。,セツナ/CNP,モト,/card-images/77.png,yellow,RRR,BT1-77,黄2,2,4,サーチ;レイキ回復,次元の訪問者,,,
BT1-78,トワ,ユニット,8,8000,-,≪ゲージバーン≫（このユニットが減らしたゲージは破棄される） 【登場時】コスト6以下の相手のユニット1体を手札に戻す。,トワは、好奇心旺盛で行動的。失敗を恐れずに挑戦することで、仲間を勇気づける存在。,トワ/CNP,オノダイサム,/card-images/78.png,yellow,RRR,BT1-78,黄2,2,6,ゲージ破壊;ユニット手札に戻す,次元の訪問者,,,
BT1-79,徹底抗戦,イベント,1,,,【コンバット】コスト3以下の相手のユニット1体を手札に戻す。,報道：「本日も我が軍はセイドウの撃退に成功！！我々の勝利は目前です！！」,,流セイヤ,/card-images/79.png,yellow,C,BT1-79,黄1,1,0,ユニット手札に戻す,次元の訪問者,,,
BT1-80,レイキの研究,イベント,1,,,【メイン】このターン終了時、≪レイキ回復3≫（自分のレイキ3枚までをアクティブにする）。,「何度みても驚嘆するよ…こんなにも超常的で優れたエネルギーがあるなんて…」,,小山内えのん,/card-images/80.png,yellow,C,BT1-80,黄1,1,0,レイキ回復,次元の訪問者,,,
BT1-81,裏取引,イベント,2,,,【コンバット】お互いは≪1ドロー≫（デッキからカードを1枚引く）。その後、相手の助太刀1枚をデッキの上に戻す。,「助かるよ」,,流セイヤ,/card-images/81.png,yellow,C,BT1-81,黄1,1,1,デッキドロー;助太刀操作,次元の訪問者,,,
BT1-82,到着！ミッドガン！,イベント,2,,,【メイン】【コンバット】自分のデッキの上から5枚オープンする。その中のユニットカード1枚を手札に加える。残りはデッキの下に戻す。,発展と研究の都市ミッドガン。セイドウが侵略を試みているものの、強力な「機兵」たちによって戦況は好調らしい。,,モト,/card-images/82.png,yellow,R,BT1-82,黄1,1,1,サーチ,次元の訪問者,,,
BT1-83,怪しい？協力依頼,イベント,3,,,【メイン】【コンバット】自分のデッキの上から5枚オープンする。その中のイベントカード1枚とサポーターカード1枚を手札に加える。残りはデッキの下に戻す。,謎の少女はトワ達を路地裏へと連れ込んだ。「ねぇ貴方たち、ここの人じゃないよね？『私たち』に協力してくれないかな？」,,流セイヤ,/card-images/83.png,yellow,C,BT1-83,黄2,2,1,サーチ,次元の訪問者,,,
BT1-84,情報の吟味,イベント,3,,,【メイン】ターン終了まで、次に自分の手札から、ユニットカードを登場させるとき、支払う無色コスト-4。,「協力するならかくまってあげるよ。協力しないなら保安部に突き出すだけだけど」ほかに選択肢はないようだ。,,流セイヤ,/card-images/84.png,yellow,R,BT1-84,黄2,2,1,コスト軽減,次元の訪問者,,,
BT1-85,奥義:テンシュの呪詛,イベント,4,,,特徴に「セイドウ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】コスト5以下の相手のユニット1体を手札に戻す。,「ひれ伏せ」,,小山内えのん,/card-images/85.png,yellow,R,BT1-85,黄2,2,2,ユニット手札に戻す,次元の訪問者,,,
